Tarih,KT1,KT2,KT3,KT4,KT5,KT6,KT7,KT8,KT9,KT10,KT11,KT12,KT13,KT14,KT15,KT16,KT17,KT18,KT19,KT20
28.10.2022,84289875,216627,6823186,5622812,1308039,6371599,7122092,2074585,4888650,1308533,119556,980015,16580973,2652964,2976682,1569161,947512,4739712,2593737,3053763
4.11.2022,86557481,213268,6929617,5799040,1322746,7184484,6588375,1999770,5755668,1248622,117091,1011008,16623555,2840054,2876621,1530631,1072687,4731775,2042488,3488633
11.11.2022,90907167,234423,6629249,5923715,1242989,10136208,7531543,2045849,5842533,1143344,115832,1034944,17712175,2799896,3100170,1610450,1125424,4702074,1699529,3509059
18.11.2022,90703189,219548,6858293,5944555,1234430,7743006,7541982,1942268,5447647,1280196,110820,1347358,17250197,3010681,3422421,1628662,1083976,4907742,3060933,3734533
25.11.2022,91208891,206326,6159104,5844814,1235336,9977990,8060954,1836076,5884106,1119508,109022,1128469,17873361,3016862,3180379,1562696,966909,4654844,2502374,3433699
2.12.2022,97393646,212262,6555369,6082078,1389718,8566103,7322448,1968427,6363325,1101849,110610,1006569,17605594,3479723,3256043,1677523,956887,4631888,5578783,4087327
9.12.2022,88441801,231971,5779825,6157930,1348485,7449757,6939101,2048378,5556724,1040567,125176,1181804,17480685,2921008,3226123,1784801,1134455,4699007,1869415,3729871
16.12.2022,92406269,225469,6228285,6303945,1457022,8142811,7157264,1956862,5819496,1036369,135121,1287222,17906534,3136085,3558298,1685371,1216361,4709443,2019367,3997166
23.12.2022,96833948,236234,5199182,6430663,1530709,9278582,7660469,1916693,6101113,1110763,145343,1389269,18716793,3756219,3878641,1666667,1123451,4943533,2425794,4074178
30.12.2022,116153446,253623,5834685,7076600,1996430,11711222,8834244,1818746,7211172,1273873,170217,1762559,20901991,4776939,4112323,1858550,1280695,5257187,4773158,4786952
6.01.2023,94191817,226180,5371826,6590757,1544896,7620368,7315028,1993841,6681777,1236965,136157,1206169,18530911,3102313,3573096,1773178,1418550,5221343,2758243,3613100
13.01.2023,91870533,245812,5536828,7928450,1606555,7082540,6964744,2147870,6287897,1047343,129187,1032750,17621721,2611428,3741322,1940098,1213046,5274436,2404563,3768822
20.01.2023,98124931,240374,5920285,6756645,2345527,8434878,7341593,2428357,6402058,1124045,135477,1466722,18464821,2768654,4251722,2055089,1271837,5633213,2904014,4270740
27.01.2023,99207794,241600,6210713,6724048,3010013,7543252,7111490,2714252,6463162,1289462,130472,1135066,18326025,2754575,3903989,2013482,1148922,5771280,5034549,3770080
3.02.2023,108392024,248690,5621745,7200974,4098557,8331566,7633049,2469282,7204844,1350001,128328,1263521,19006563,3159564,3845874,2170412,1212426,5721746,7138288,4653134
10.02.2023,87648067,249068,6325607,6558872,2107032,6447932,6339549,1987197,5442548,953913,87867,1092063,20141259,2302362,3163994,1613680,1417772,4384301,1481949,3531753
17.02.2023,93445079,252168,5735083,7192244,2456922,7226870,6341314,1844891,6274659,884218,72022,1496410,19413789,2549946,3894378,1592069,1413877,4999582,1641947,4061657
